PSNR,SSIM,MSELoss,L1Loss,LPIPS,DISTS,datasplit,cell_line,seeding_density,platemap_file,run_name,run_id,params.beta0,params.depth,params.beta1,params.epochs,params.channel_name,params.patience,params.batch_size,params.patch_size,params.lr
25.577083587646484,0.870499849319458,0.0027688005939126015,0.03330497816205025,0.2954888343811035,0.31088167428970337,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
25.005949020385742,0.7953441143035889,0.003157948609441519,0.03762971609830856,0.2756800353527069,0.3061894178390503,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
23.636615753173828,0.7679746747016907,0.004328509327024221,0.030752219259738922,0.24088241159915924,0.30980944633483887,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
22.934986114501953,0.7564486265182495,0.005087466444820166,0.046578384935855865,0.3887571692466736,0.31319284439086914,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
21.161239624023438,0.7232339978218079,0.007653780281543732,0.05442140996456146,0.4092264771461487,0.3814091086387634,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
22.942684173583984,0.7717282772064209,0.0050784568302333355,0.049183301627635956,0.39192506670951843,0.31686657667160034,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
24.171855926513672,0.8041172623634338,0.003826612140983343,0.042254284024238586,0.2523418664932251,0.2916661500930786,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
24.887863159179688,0.8044140934944153,0.003244992345571518,0.026900695636868477,0.18857568502426147,0.311698317527771,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
24.9876766204834,0.7766396403312683,0.0031712634954601526,0.03210511431097984,0.27096930146217346,0.3408925533294678,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
23.876590728759766,0.7867119312286377,0.004095819778740406,0.03706371411681175,0.3397238552570343,0.31241071224212646,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
28.02055549621582,0.8441171050071716,0.0015774096827954054,0.026478644460439682,0.16941726207733154,0.31363415718078613,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
27.45108413696289,0.7533369660377502,0.0017984224250540137,0.023368559777736664,0.20667383074760437,0.30178505182266235,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
24.6585636138916,0.8240815997123718,0.0034209266304969788,0.034147970378398895,0.3107311725616455,0.3324204683303833,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
23.161985397338867,0.6658716797828674,0.004828380420804024,0.049510322511196136,0.3497426211833954,0.3141273260116577,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
25.289649963378906,0.8634660243988037,0.002958250232040882,0.031344376504421234,0.30323752760887146,0.29725515842437744,evaluation,U2-OS,8000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
