PSNR,SSIM,MSELoss,L1Loss,LPIPS,DISTS,datasplit,cell_line,seeding_density,platemap_file,run_name,run_id,params.beta0,params.depth,params.beta1,params.epochs,params.channel_name,params.patience,params.batch_size,params.patch_size,params.lr
19.288686752319336,0.41328364610671997,0.011779621243476868,0.1049346923828125,0.304765909910202,0.3721834421157837,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
17.216373443603516,0.42165645956993103,0.0189829058945179,0.10534000396728516,0.19857805967330933,0.29861050844192505,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
18.416725158691406,0.2447325587272644,0.014398841187357903,0.11311816424131393,0.2476404309272766,0.38693541288375854,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
19.887012481689453,0.43218713998794556,0.010263576172292233,0.09854896366596222,0.2763606905937195,0.3570646047592163,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
19.303800582885742,0.2489495426416397,0.011738697066903114,0.10125134885311127,0.22036460041999817,0.3861018419265747,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
20.250823974609375,0.5423667430877686,0.009438816457986832,0.09297552704811096,0.22741779685020447,0.3253670930862427,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
21.521385192871094,0.4939575493335724,0.007044684141874313,0.08054352551698685,0.17785724997520447,0.33345305919647217,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
19.005300521850586,0.31010279059410095,0.012573899701237679,0.10862089693546295,0.31816545128822327,0.38788139820098877,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
18.287973403930664,0.34670373797416687,0.01483210176229477,0.11366191506385803,0.21525922417640686,0.3451422452926636,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
16.980655670166016,0.3192945718765259,0.02004168927669525,0.1262037307024002,0.32794010639190674,0.3508338928222656,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
17.254756927490234,0.36284366250038147,0.018815865740180016,0.12654809653759003,0.3754483759403229,0.37919431924819946,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
17.878324508666992,0.2323329597711563,0.016299249604344368,0.12079170346260071,0.273336261510849,0.3762928247451782,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
20.533533096313477,0.2672887146472931,0.008843958377838135,0.08960083872079849,0.1914689987897873,0.3869631886482239,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
16.726621627807617,0.2500401735305786,0.021248966455459595,0.12506580352783203,0.2632017731666565,0.35258978605270386,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
19.50416374206543,0.39514872431755066,0.011209433898329735,0.10325340926647186,0.2586461007595062,0.35480672121047974,evaluation,KNS-42,2000,Assay_Plate2_platemap,FNet_train_high_confluence_OrigMito,3f7a8ce066f442fc8916d699faa4f0a9,0.6470384526146977,3,0.9467986866591369,1000,OrigMito,11,16,256,8.989081354219003e-05
