PSNR,SSIM,MSELoss,L1Loss,LPIPS,DISTS,datasplit,cell_line,seeding_density,platemap_file,run_name,run_id,params.beta0,params.depth,params.beta1,params.epochs,params.channel_name,params.patience,params.batch_size,params.patch_size,params.lr
48.37562942504883,0.9859962463378906,1.4535728951159399e-05,0.001745683141052723,0.03245154023170471,0.12051039934158325,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
45.21337127685547,0.9618690013885498,3.0106690246611834e-05,0.002381999511271715,0.017517490312457085,0.08219653367996216,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
46.856666564941406,0.9778319001197815,2.0622133888537064e-05,0.00243773078545928,0.06413368880748749,0.21971702575683594,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
49.96876525878906,0.9886186122894287,1.0072177246911451e-05,0.0015159670729190111,0.03730524331331253,0.1869603395462036,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
42.892005920410156,0.9413996934890747,5.1380586228333414e-05,0.0038787026423960924,0.05986134707927704,0.20456498861312866,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
46.4931526184082,0.9747742414474487,2.24225423153257e-05,0.0016169575974345207,0.039058439433574677,0.1463189721107483,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
50.785011291503906,0.9897978901863098,8.346390131919179e-06,0.0009311955072917044,0.0029794005677103996,0.0680931806564331,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
47.23573303222656,0.9817132353782654,1.8898481357609853e-05,0.0020339784678071737,0.04682210832834244,0.1548081636428833,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
47.426177978515625,0.973564624786377,1.808765227906406e-05,0.002189900726079941,0.013842631131410599,0.09445244073867798,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
52.00035095214844,0.9935386180877686,6.309061063802801e-06,0.001236794632859528,0.013563279062509537,0.10556375980377197,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
50.295555114746094,0.9884677529335022,9.34209947445197e-06,0.0015235962346196175,0.007243470288813114,0.08307766914367676,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
51.0023193359375,0.991814911365509,7.939041097415611e-06,0.0014890148304402828,0.016798045486211777,0.09856057167053223,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
41.54487609863281,0.9367985725402832,7.006683881627396e-05,0.0028518219478428364,0.06383111327886581,0.19408994913101196,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
48.61738204956055,0.985499382019043,1.3748698620474897e-05,0.0018223010702058673,0.033322177827358246,0.1319979429244995,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
41.16939926147461,0.9088163375854492,7.639412069693208e-05,0.005680970847606659,0.0856916680932045,0.2404882311820984,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
41.840057373046875,0.9259172677993774,6.546278746100143e-05,0.004731315188109875,0.08884179592132568,0.2634432315826416,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
41.54657745361328,0.9235208630561829,7.003939390415326e-05,0.004817883484065533,0.10828205943107605,0.2614774703979492,evaluation,DAOY,2000,Assay_Plate1_platemap,FNet_train_low_confluence_OrigAGP,7bf7f0a2b4cf419f82de78717d8d93a9,0.6076649540080956,5,0.9434924713645615,1000,OrigAGP,19,16,256,0.0003172162078172074
